index ,param_solver,param_max_iter,param_learning_rate_init,param_hidden_layer_sizes,param_activation,mean_test_score,std_test_score,val ac
1,sgd,1125,0.011,"(8, 8, 8)",relu,0.882066277,0.053738981,0.628
2,sgd,500,0.046,"(8, 8, 8)",relu,0.882066277,0.047668691,0.628
3,sgd,1050,0.026,"(8, 8, 8)",relu,0.87037037,0.0655852,0.651
4,sgd,825,0.026,"(9, 9)",logistic,0.863872645,0.05624569,0.721
5,sgd,1075,0.026,"(3,)",logistic,0.863872645,0.05624569,0.721
6,sgd,1400,0.036,"(6,)",logistic,0.858349578,0.085449418,0.744
7,sgd,1050,0.041,"(6,)",logistic,0.858349578,0.085449418,0.721
8,sgd,1325,0.026,"(4, 4, 4)",tanh,0.858024691,0.035063645,0.767
9,sgd,1300,0.031,"(5,)",logistic,0.858024691,0.065630247,0.744
10,sgd,1000,0.031,"(5,)",logistic,0.858024691,0.065630247,0.744
11,sgd,125,0.026,"(6,)",logistic,0.857699805,0.090302026,0.791
12,sgd,775,0.006,"(3,)",relu,0.857699805,0.062011593,0.721
13,sgd,1075,0.031,"(5,)",relu,0.852826511,0.113228349,0.698
14,sgd,725,0.041,"(6,)",logistic,0.852501624,0.076931537,0.721
15,sgd,1200,0.046,"(4,)",tanh,0.852501624,0.053297197,0.698
16,sgd,650,0.001,"(6,)",relu,0.852176738,0.08132547,0.791
17,sgd,325,0.046,"(7,)",logistic,0.852176738,0.064432414,0.721
18,sgd,150,0.016,"(7, 7, 7)",tanh,0.851851852,0.078410079,0.744
19,sgd,1125,0.006,"(7,)",logistic,0.851526966,0.086363551,0.767
20,sgd,325,0.016,"(7,)",logistic,0.851526966,0.086363551,0.767
21,sgd,475,0.021,"(4, 4)",tanh,0.851526966,0.061361379,0.721
22,sgd,975,0.026,"(7, 7)",logistic,0.846653671,0.075485566,0.721
23,sgd,900,0.016,"(8,)",tanh,0.846328785,0.071822653,0.767
24,sgd,225,0.046,"(7, 7, 7, 7)",tanh,0.846328785,0.05192492,0.721
